passenger_id,Ticket,Fare,Cabin,Embarked
6,330877,8.4583,,Q
7,17463,51.8625,E46,S
8,349909,21.075,,s
9,347742,11.1333,,S
10,237736,30.0708,,Cherbourg
11,PP 9549,16.7,G6,S
12,113783,26.55,C103,Southampton
13,A/5. 2151,8.05,,S
14,347082,31.275,,S
15,350406,7.8542,,S
16,248706,16.0,,S
17,382652,29.125,,Q
18,244373,13.0,,S
19,345763,18.0,,S
20,2649,7.225,,C
21,239865,26.0,,s
22,248698,13.0,D56,S
23,330923,8.0292,,Q
24,113788,35.5,A6,S
25,349909,21.075,,S
26,347077,31.3875,,S
27,2631,7.225,,C
28,19950,263.0,C23 C25 C27,S
29,330959,7.8792,,Q
30,349216,7.8958,,S
31,PC 17601,27.7208,,C
32,PC 17569,146.5208,B78,C
33,335677,7.75,,Q
34,C.A. 24579,10.5,,s
35,PC 17604,82.1708,,Cherbourg
36,113789,52.0,,S
37,2677,7.2292,,C
38,A./5. 2152,8.05,,S
39,345764,18.0,,S
40,2651,11.2417,,C
41,7546,9.475,,S
42,11668,21.0,,S
43,349253,7.8958,,C
44,SC/Paris 2123,41.5792,,C
45,330958,7.8792,,Q
46,S.C./A.4. 23567,8.05,,Southampton
47,370371,15.5,,Q
48,14311,7.75,,Q
49,2662,21.6792,,C
50,349237,17.8,,S
51,3101295,39.6875,,S
52,A/4. 39886,7.8,,S
53,PC 17572,76.7292,D33,C
54,2926,26.0,,S
55,113509,61.9792,B30,C
56,19947,35.5,C52,S
57,C.A. 31026,10.5,,S
58,2697,7.2292,,C
59,C.A. 34651,27.75,,S
60,CA 2144,46.9,,s
61,2669,7.2292,,C
62,113572,80.0,B28,
63,36973,83.475,C83,S
64,347088,27.9,,Southampton
65,PC 17605,27.7208,,C
66,2661,15.2458,,C
67,C.A. 29395,10.5,F33,s
68,S.P. 3464,8.1583,,S
69,3101281,7.925,,S
70,315151,8.6625,,S
71,C.A. 33111,10.5,,S
72,CA 2144,46.9,,S
73,S.O.C. 14879,73.5,,S
74,2680,14.4542,,C
75,1601,56.4958,,S
76,348123,7.65,F G73,s
77,349208,7.8958,,S
78,374746,8.05,,S
79,248738,29.0,,S
80,364516,12.475,,S
81,345767,9.0,,s
82,345779,9.5,,S
83,330932,7.7875,,Q
84,113059,47.1,,S
85,SO/C 14885,10.5,,s
86,3101278,15.85,,S
87,W./C. 6608,34.375,,s
88,SOTON/OQ 392086,8.05,,Southampton
89,19950,263.0,C23 C25 C27,Southampton
90,343275,8.05,,S
91,343276,8.05,,Southampton
92,347466,7.8542,,S
93,W.E.P. 5734,61.175,E31,S
94,C.A. 2315,20.575,,s
95,364500,7.25,,s
96,374910,8.05,,s
97,PC 17754,34.6542,A5,C
98,PC 17759,63.3583,D10 D12,C
99,231919,23.0,,Southampton
100,244367,26.0,,S
101,349245,7.8958,,s
102,349215,7.8958,,S
103,35281,77.2875,D26,S
104,7540,8.6542,,S
105,3101276,7.925,,S
106,349207,7.8958,,S
107,343120,7.65,,s
108,312991,7.775,,Southampton
109,349249,7.8958,,Southampton
110,371110,24.15,,Q
111,110465,52.0,C110,S
112,2665,14.4542,,C
113,324669,8.05,,S
114,4136,9.825,,Southampton
115,2627,14.4583,,C
116,STON/O 2. 3101294,7.925,,Southampton
117,370369,7.75,,Q
118,11668,21.0,,S
119,PC 17558,247.5208,B58 B60,C
120,347082,31.275,,S
121,S.O.C. 14879,73.5,,s
122,A4. 54510,8.05,,S
123,237736,30.0708,,Cherbourg
124,27267,13.0,E101,S
125,35281,77.2875,D26,S
126,2651,11.2417,,Cherbourg
127,370372,7.75,,Q
128,C 17369,7.1417,,Southampton
129,2668,22.3583,F E69,C
130,347061,6.975,,S
131,349241,7.8958,,C
132,SOTON/O.Q. 3101307,7.05,,S
133,A/5. 3337,14.5,,S
134,228414,26.0,,Southampton
135,C.A. 29178,13.0,,S
136,SC/PARIS 2133,15.0458,,C
137,11752,26.2833,D47,S
138,113803,53.1,C123,S
139,7534,9.2167,,S
140,PC 17593,79.2,B86,C
141,2678,15.2458,,Cherbourg
142,347081,7.75,,S
143,STON/O2. 3101279,15.85,,S
144,365222,6.75,,Q
145,231945,11.5,,s
146,C.A. 33112,36.75,,Southampton
147,350043,7.7958,,S
148,W./C. 6608,34.375,,S
149,230080,26.0,F2,S
150,244310,13.0,,S
151,S.O.P. 1166,12.525,,S
152,113776,66.6,C2,S
153,A.5. 11206,8.05,,S
154,A/5. 851,14.5,,Southampton
155,Fa 265302,7.3125,,S
156,PC 17597,61.3792,,C
157,35851,7.7333,,Q
158,SOTON/OQ 392090,8.05,,S
159,315037,8.6625,,S
160,CA. 2343,69.55,,Southampton
161,371362,16.1,,S
162,C.A. 33595,15.75,,S
163,347068,7.775,,S
164,315093,8.6625,,S
165,3101295,39.6875,,S
166,363291,20.525,,S
167,113505,55.0,E33,S
168,347088,27.9,,S
169,PC 17318,25.925,,S
170,1601,56.4958,,S
171,111240,33.5,B19,S
172,382652,29.125,,Q
173,347742,11.1333,,S
174,STON/O 2. 3101280,7.925,,S
175,17764,30.6958,A7,C
176,350404,7.8542,,S
177,4133,25.4667,,S
178,PC 17595,28.7125,C49,C
179,250653,13.0,,S
180,LINE,0.0,,S
181,CA. 2343,69.55,,S
182,SC/PARIS 2131,15.05,,Cherbourg
183,347077,31.3875,,s
184,230136,39.0,F4,S
185,315153,22.025,,s
186,113767,50.0,A32,S
187,370365,15.5,,Q
188,111428,26.55,,Southampton
189,364849,15.5,,Q
190,349247,7.8958,,S
191,234604,13.0,,s
192,28424,13.0,,S
193,350046,7.8542,,S
194,230080,26.0,F2,S
195,PC 17610,27.7208,B4,Cherbourg
196,PC 17569,146.5208,B80,C
197,368703,7.75,,Q
198,4579,8.4042,,S
199,370370,7.75,,Q
200,248747,13.0,,S
201,345770,9.5,,S
202,CA. 2343,69.55,,S
203,3101264,6.4958,,S
204,2628,7.225,,C
205,A/5 3540,8.05,,S
206,347054,10.4625,G6,S
207,3101278,15.85,,s
208,2699,18.7875,,Cherbourg
209,367231,7.75,,Q
210,112277,31.0,A31,Cherbourg
