T,RH,AH,PT08_S1_CO,PT08_S2_NMHC,PT08_S3_NOx,PT08_S4_NO2,PT08_S5_O3,NOx_GT,NO2_GT,CO_GT
11.2,59.6,0.7888,1272.0,836.0,1205.0,1490.0,1110.0,131.0,116.0,1.6
10.7,60.0,0.7702,1136.0,672.0,1453.0,1333.0,730.0,62.0,76.0,1.0
9.5,66.8,0.7951,1236.0,774.0,1301.0,1401.0,664.0,104.0,95.0,1.6
8.3,76.4,0.8393,1286.0,869.0,1162.0,1537.0,799.0,146.0,112.0,1.9
9.6,67.8,0.8133,1640.0,1404.0,743.0,2191.0,1654.0,351.0,165.0,6.1
7.0,62.3,0.6261,889.0,574.0,1680.0,1187.0,512.0,-200.0,-200.0,0.8
15.1,39.6,0.6766,1510.0,1277.0,812.0,1910.0,1410.0,206.0,149.0,3.9
9.5,64.1,0.7597,1280.0,964.0,963.0,1544.0,1285.0,193.0,113.0,2.7
12.4,51.2,0.7335,1447.0,1081.0,869.0,1667.0,1465.0,250.0,126.0,3.2
16.7,37.8,0.7117,1326.0,1000.0,976.0,1602.0,1084.0,148.0,125.0,2.3
15.8,42.4,0.7569,1609.0,1286.0,758.0,1922.0,1612.0,277.0,165.0,4.2
14.7,49.3,0.8193,1418.0,1010.0,892.0,1603.0,1536.0,172.0,130.0,2.6
17.6,46.1,0.921,1898.0,1381.0,681.0,2103.0,1905.0,325.0,173.0,5.9
16.7,49.6,0.932,1560.0,1140.0,784.0,1818.0,1648.0,217.0,146.0,3.4
13.4,61.3,0.9361,1224.0,855.0,998.0,1566.0,1149.0,108.0,88.0,1.8
12.4,63.9,0.917,1797.0,1451.0,652.0,2323.0,1680.0,360.0,114.0,5.5
23.8,31.3,0.9137,1445.0,1141.0,857.0,1824.0,1252.0,156.0,110.0,2.8
25.3,26.1,0.8264,1579.0,1359.0,724.0,1998.0,1671.0,252.0,161.0,4.0
16.7,48.9,0.9226,1201.0,943.0,935.0,1560.0,1362.0,130.0,117.0,1.7
9.9,65.2,0.7956,1173.0,878.0,1038.0,1556.0,1052.0,160.0,84.0,1.6
25.9,25.9,0.8503,1389.0,1108.0,887.0,1712.0,1334.0,161.0,123.0,2.6
29.3,15.8,0.6309,1365.0,1154.0,940.0,1679.0,1221.0,186.0,129.0,2.9
25.9,16.0,0.5237,1557.0,1478.0,793.0,1981.0,1569.0,299.0,158.0,5.0
20.5,38.2,0.9133,1975.0,1667.0,597.0,2416.0,2359.0,347.0,182.0,6.7
14.8,53.9,0.9024,1371.0,1083.0,796.0,1669.0,1551.0,154.0,116.0,2.3
11.5,60.0,0.8117,1643.0,1384.0,667.0,2094.0,1610.0,339.0,124.0,4.7
17.8,40.5,0.821,1617.0,1333.0,686.0,2010.0,1819.0,349.0,150.0,4.5
25.2,24.9,0.7829,1379.0,1087.0,901.0,1660.0,1144.0,137.0,126.0,2.3
20.7,31.1,0.7523,1667.0,1464.0,683.0,2118.0,1588.0,280.0,168.0,5.1
12.0,69.7,0.9735,1287.0,936.0,918.0,1606.0,1040.0,126.0,106.0,2.0
12.5,66.8,0.962,913.0,525.0,1620.0,1260.0,370.0,18.0,28.0,0.5
14.7,57.6,0.9573,1175.0,945.0,904.0,1604.0,1081.0,143.0,116.0,2.2
13.9,55.9,0.8842,1090.0,773.0,1105.0,1429.0,761.0,86.0,83.0,1.6
13.9,55.6,0.8765,1017.0,718.0,1182.0,1382.0,650.0,74.0,81.0,1.3
16.3,50.0,0.9158,1490.0,1039.0,782.0,1757.0,1422.0,182.0,108.0,2.6
19.1,43.8,0.9556,1392.0,967.0,930.0,1649.0,941.0,119.0,94.0,2.1
16.4,53.8,0.9964,1535.0,1108.0,785.0,1820.0,1323.0,206.0,125.0,3.3
15.6,56.6,0.9951,1203.0,823.0,1004.0,1526.0,903.0,89.0,84.0,1.6
14.5,63.0,1.0316,947.0,594.0,1300.0,1390.0,580.0,24.0,36.0,0.7
18.9,49.6,1.07,1279.0,870.0,911.0,1646.0,1000.0,106.0,81.0,1.8
16.3,57.0,1.0491,897.0,563.0,1417.0,1355.0,472.0,23.0,33.0,0.6
15.7,57.6,1.0195,1090.0,768.0,1072.0,1538.0,699.0,86.0,76.0,1.2
18.5,36.7,0.7764,1090.0,868.0,1026.0,1509.0,766.0,124.0,87.0,1.6
21.0,29.6,0.7263,1110.0,964.0,947.0,1577.0,829.0,122.0,90.0,1.9
21.3,24.2,0.606,1076.0,1034.0,964.0,1544.0,813.0,150.0,101.0,2.3
13.0,56.8,0.8444,941.0,621.0,1298.0,1330.0,714.0,51.0,70.0,0.7
9.8,75.0,0.9093,1061.0,745.0,1178.0,1429.0,616.0,103.0,88.0,1.1
10.2,62.7,0.7813,908.0,559.0,1477.0,1287.0,721.0,44.0,66.0,-200.0
