gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineSecurity,TechSupport,MultipleLines,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,YES,No,45,DSL,Yes,Yes,No phone service,No,One year,No,Bank transfer (automatic),42.3,1840.75,No
Female,0,No,No,2,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes
Female,0,No,No,8,,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes
Male,0,No,Yes,22,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No
Female,0,No,No,10,DSL,Yes,No,No phone service,No,Month-to-month,No,Mailed check,29.75,301.9,No
Female,0,Yes,No,28,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes
Female,0,Yes,Yes,69,Fiber optic,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No
Female,0,No,No,52,No,No internet service,No internet service,No,No internet service,One year,No,Mailed check,20.65,1022.95,No
Male,1,No,No,1,DSL,No,No,No phone service,No,Month-to-month,Yes,Electronic check,39.65,39.65,Yes
Female,0,Yes,No,58,DSL,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No
Female,0,No,No,30,DSL,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No
Male,1,Yes,No,2,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No
Male,1,No,No,1,DSL,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No
Female,0,No,No,46,Fiber optic,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No
Male,0,No,No,2,DSL,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No
Male,0,No,No,52,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No
Female,0,Yes,No,47,,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No
Male,0,Yes,No,72,DSL,Yes,No,No phone service,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No
Female,0,Yes,Yes,48,No,No internet service,No internet service,No,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No
Male,0,No,No,5,No,No internet service,No internet service,No,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes
Male,0,No,No,52,No,No internet service,No internet service,No,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No
Male,0,No,No,1,No,No internet service,No internet service,No,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No
Male,0,No,No,5,DSL,No,No,No phone service,No,Month-to-month,No,Mailed check,24.3,100.2,No
Male,0,No,No,43,Fiber optic,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,No
Female,0,No,No,41,No,No internet service,No internet service,No,No internet service,Two year,No,Mailed check,20.65,835.15,No
Female,0,Yes,Yes,4,No,No internet service,No internet service,No,No internet service,Month-to-month,No,Mailed check,20.85,62.9,No
Female,0,Yes,Yes,65,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),99.05,6416.7,No
Male,0,No,No,7,Fiber optic,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,Yes
Female,0,Yes,Yes,6,No,No internet service,No internet service,No,No internet service,Month-to-month ,No,Mailed check,19.7,113.5,No
Female,0,No,No,22,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),84.15,1821.95,No
Male,0,Yes,Yes,16,DSL,Yes,No,No,Yes,Two year,No,Mailed check,64.25,1024.0,No
Female,0,No,Yes,13,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,56.0,764.55,No
Female,0,Yes,Yes,16,No,No internet service,No internet service,No,No internet service,Month-to-month,No,Electronic check,20.4,321.4,No
Male,0,Yes,No,43,Fiber optic,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),84.25,3539.25,No
Female,0,No,No,32,,No internet service,No internet service,No,No internet service,One year,No,Bank transfer (automatic),20.55,654.55,No
Female,0,Yes,Yes,15,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.35,1559.25,No
Male,0,No,No,8,Fiber optic,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),84.5,662.65,Yes
Male,0,Yes,No,3,DSL,No,Yes,No phone service,No,Month-to-month,No,Electronic check,30.4,82.15,No
Female,0,No,No,13,No,No internet service,No internet service,No,No internet service,One year,No,Electronic check,19.65,244.8,No
Male,0,Yes,Yes,43,,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),71.9,3173.35,No
Female,0,Yes,No,27,Fiber optic,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),101.9,2681.15,No
Male,0,Yes,Yes,71,Fiber optic,Yes,No,Yes,Yes,Two year,No,Electronic check,105.55,7405.5,No
Male,0,No,Yes,13,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),78.3,1033.95,No
Female,0,No,No,1,DSL,No,No,No phone service,No,Month-to-month,No,Electronic check,25.25,25.25,No
Male,0,Yes,Yes,65,DSL,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),84.2,5324.5,No
Female,0,Yes,No,71,No,No internet service,No internet service,Yes,No internet service,Two year,No,Bank transfer (automatic),24.75,1836.9,No
Male,0,Yes,No,4,,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,Yes
Male,0,No,No,1,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Mailed check,84.6,84.6,Yes
Male,0,No,No,72,Fiber optic,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),109.2,,No
Female,1,No,No,13,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,54.8,731.3,No
Female,0,Yes,Yes,2,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,70.4,,Yes
Male,1,Yes,No,1,DSL,No,No,No phone service,Yes,Month-to-month,No,Electronic check,40.2,40.2,Yes
Female,0,Yes,Yes,67,DSL,No,Yes,No phone service,Yes,Two year,Yes,Electronic check,59.55,4103.9,No
Male,1,Yes,No,57,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,89.85,4925.35,No
Female,1,Yes,No,19,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,105.0,2007.25,No
Female,0,Yes,No,71,No,No internet service,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),24.25,1732.95,No
Male,0,Yes,No,57,DSL,Yes,Yes,No,No,Two year,Yes,Electronic check,59.75,3450.15,No
Male,0,No,No,1,Fiber optic,No,No,No,No,Month-to-month,No,Mailed check,70.6,70.6,Yes
Male,0,No,No,10,DSL,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,435.4,Yes
Male,0,No,No,35,DSL,Yes,No,No,No,One year,No,Mailed check,61.2,2021.2,No
Female,0,Yes,Yes,68,DSL,No,Yes,No phone service,Yes,Two year,No,Credit card (automatic),60.3,4109.0,No
Male,1,Yes,No,32,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,74.9,2303.35,Yes
Male,1,Yes,Yes,38,Fiber optic,No,No,Yes,Yes,Month-to-month,No,Electronic check,101.15,3741.85,No
Female,0,No,No,1,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.25,19.25,No
Female,0,No,No,43,Fiber optic,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),115.05,4895.1,No
Male,0,Yes,No,5,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.6,415.55,Yes
