sex,age,address,Medu,Fedu,studytime,failures,schoolsup,famsup,paid,higher,internet,goout,health,absences,at_risk
F,18,U,4,4,2,0,yes,no,no,yes,no,4,3,6.0,1
F,17,U,1,1,2,0,no,yes,no,yes,yes,3,3,4.0,1
F,15,U,1,1,2,3,yes,no,yes,yes,yes,2,3,10.0,0
F,15,U,4,2,3,0,no,yes,yes,yes,yes,2,5,2.0,0
F,16,U,3,3,2,0,no,yes,yes,yes,no,2,5,4.0,0
M,16,U,4,3,2,0,no,yes,yes,yes,yes,2,5,10.0,0
M,16,U,2,2,2,0,no,no,no,yes,yes,4,3,0.0,0
F,17,U,4,4,2,0,yes,yes,no,yes,no,4,1,6.0,1
M,15,U,3,2,2,0,no,yes,yes,yes,yes,2,1,0.0,0
M,15,U,3,4,2,0,no,yes,yes,yes,yes,1,5,0.0,0
F,15,U,4,4,2,0,no,yes,yes,yes,yes,3,2,0.0,1
F,3,U,2,1,3,0,no,yes,no,yes,yes,2,4,4.0,0
M,15,U,4,4,1,0,no,yes,yes,yes,yes,3,5,2.0,0
M,15,U,4,3,2,0,no,yes,yes,yes,yes,3,3,2.0,0
M,15,U,2,2,3,0,no,yes,no,yes,yes,2,3,0.0,0
F,16,U,4,4,1,0,no,yes,no,yes,yes,4,2,4.0,0
F,16,U,4,4,3,0,no,yes,yes,yes,yes,3,2,6.0,0
F,16,U,3,3,2,0,yes,yes,no,yes,no,2,4,4.0,0
M,17,U,3,2,1,3,no,yes,no,yes,yes,5,5,16.0,1
M,16,U,4,3,1,0,no,no,yes,yes,yes,3,5,4.0,0
M,15,U,4,3,2,0,no,no,no,yes,yes,1,1,0.0,0
M,15,U,4,4,1,0,no,yes,yes,yes,yes,2,5,0.0,0
M,16,U,4,2,2,0,no,no,no,yes,yes,1,5,2.0,0
M,16,U,2,2,2,0,no,yes,no,yes,yes,4,5,0.0,0
F,15,R,2,4,3,0,yes,yes,yes,yes,,2,5,2.0,1
F,16,U,2,2,1,2,no,yes,yes,yes,yes,2,5,14.0,1
M,15,U,2,2,1,0,no,yes,yes,yes,yes,2,5,2.0,0
M,15,U,4,2,1,0,no,no,yes,yes,yes,4,1,4.0,0
M,16,U,3,4,2,0,yes,yes,no,yes,yes,3,5,4.0,0
M,16,U,4,4,2,0,no,yes,yes,yes,yes,5,5,16.0,0
M,15,U,4,4,2,0,no,yes,yes,yes,yes,2,5,0.0,0
M,15,U,4,4,2,0,no,yes,no,yes,yes,1,5,0.0,0
M,15,R,4,3,2,0,no,yes,no,yes,yes,2,5,,0
M,15,U,3,3,2,0,no,no,no,yes,yes,2,2,,0
M,16,U,3,2,1,0,no,yes,yes,yes,yes,3,5,0.0,0
F,15,U,2,3,1,0,no,yes,no,yes,no,1,5,0.0,1
M,15,U,4,3,3,0,no,yes,no,yes,yes,3,4,,0
M,16,R,4,4,3,0,Yes,yes,no,yes,yes,3,5,7.0,0
F,15,R,3,4,3,0,yes,yes,yes,yes,yes,2,5,2.0,0
F,15,R,2,2,1,0,yes,yes,yes,yes,no,1,2,8.0,0
F,16,U,2,2,2,1,no,yes,no,yes,yes,3,3,25.0,0
M,15,U,4,4,1,0,no,yes,no,yes,yes,3,5,8.0,0
M,15,U,4,4,2,0,no,yes,no,no ,yes,3,5,2.0,0
M,15,U,2,2,1,0,yes,yes,no,yes,yes,1,1,0.0,0
F,16,U,2,2,2,1,yes,no,no,yes,yes,3,5,14.0,1
F,15,U,4,3,2,0,yes,yes,yes,yes,yes,2,5,8.0,1
F,16,U,3,3,2,0,no,yes,no,yes,yes,5,3,12.0,0
M,16,U,4,3,4,0,no,no,no,yes,yes,2,2,4.0,0
M,15,U,4,2,2,0,no,yes,yes,yes,no,3,5,2.0,0
F,15,U,4,4,2,1,yes,yes,no,yes,yes,4,3,2.0,1
F,16,U,2,2,2,0,no,yes,yes,yes,yes,3,4,,0
F,15,U,4,2,2,0,no,yes,yes,yes,yes,3,5,-1.0,0
M,15,U,4,2,1,1,no,no,no,yes,no,5,5,6.0,0
